time,x,y,z,w0,w1,w2,w3,vx,vy,vz,roll,pitch,yaw
0,-5.38679011066,-2.69319134923,0,-8.40399150869e-06,0.0015916432793,0.00311055212281,0.999993895515,-0.261209844608,-6.78103472493e-05,0.0,0,0,-0.0262669607991
0,-5.39540882694,-2.69324337229,0,-8.26929706653e-06,0.00159669699235,0.00266684240591,0.999995169209,-0.261093054453,-6.23499271196e-05,0.0,0,0,-0.0274028527186
0,-5.40401711781,-2.69328689607,0,-7.95034594655e-06,0.00160123243624,0.0022082203199,0.99999627987,-0.260609648561,-3.08179739763e-05,0.0,0,0,-0.0280769663262
0,-5.41285307352,-2.6933238802,0,-5.98091968986e-06,0.00159916998078,0.00185929806485,0.999996992811,-0.259357497957,-6.04323735282e-05,0.0,0,0,-0.0187247440189
0,-5.42138328642,-2.69334910138,0,-2.40437920986e-06,0.00160258292391,0.00160991757761,0.99999741994,-0.258122336228,2.01198568234e-05,0.0,0,0,-0.0121384011489
0,-5.42992092625,-2.69337383913,0,-2.6050755863e-06,0.00159674588803,0.00132289871155,0.999997850165,-0.258600339984,2.37763482824e-05,0.0,0,0,-0.0175066042577
0,-5.43871375892,-2.69339336538,0,-2.37944469577e-06,0.0015919996003,0.000991153942266,0.999998241571,-0.258696065032,2.50532248443e-05,0.0,0,0,-0.0193104614281
0,-5.4472577055,-2.69340710271,0,-2.29851280702e-06,0.00158769960778,0.00067435956648,0.999998512221,-0.259103606708,1.33524258378e-05,0.0,0,0,-0.0191532650541
0,-5.45581608463,-2.6934158015,0,-2.10747232468e-06,0.00158535594865,0.000358706887345,0.999998678985,-0.259558153232,2.71287894412e-06,0.0,0,0,-0.0190988035769
0,-5.4646489083,-2.69341849404,0,-1.6464389001e-06,0.00158457218503,-8.11741382643e-05,0.999998741269,-0.260024433367,-8.72198055235e-06,0.0,0,0,-0.0260305648347
